台灣日期,客隊,主隊,away_score,home_score
2026-06-04,New York Knicks,San Antonio Spurs,105,95
2026-05-31,San Antonio Spurs,Oklahoma City Thunder,111,103
2026-05-29,Oklahoma City Thunder,San Antonio Spurs,91,118
2026-05-27,San Antonio Spurs,Oklahoma City Thunder,114,127
2026-05-26,New York Knicks,Cleveland Cavaliers,130,93
2026-05-25,Oklahoma City Thunder,San Antonio Spurs,82,103
2026-05-24,New York Knicks,Cleveland Cavaliers,121,108
2026-05-23,Oklahoma City Thunder,San Antonio Spurs,123,108
2026-05-22,Cleveland Cavaliers,New York Knicks,93,109
2026-05-21,San Antonio Spurs,Oklahoma City Thunder,113,122
2026-05-20,Cleveland Cavaliers,New York Knicks,104,115
2026-05-19,San Antonio Spurs,Oklahoma City Thunder,122,115
2026-05-18,Cleveland Cavaliers,Detroit Pistons,125,94
2026-05-16,San Antonio Spurs,Minnesota Timberwolves,139,109
2026-05-16,Detroit Pistons,Cleveland Cavaliers,115,94
2026-05-14,Cleveland Cavaliers,Detroit Pistons,117,113
2026-05-13,Minnesota Timberwolves,San Antonio Spurs,97,126
2026-05-12,Detroit Pistons,Cleveland Cavaliers,103,112
2026-05-12,Oklahoma City Thunder,Los Angeles Lakers,115,110
2026-05-11,New York Knicks,Philadelphia 76ers,144,114
2026-05-11,San Antonio Spurs,Minnesota Timberwolves,109,114
2026-05-10,Oklahoma City Thunder,Los Angeles Lakers,131,108
2026-05-10,Detroit Pistons,Cleveland Cavaliers,109,116
2026-05-09,New York Knicks,Philadelphia 76ers,108,94
2026-05-09,San Antonio Spurs,Minnesota Timberwolves,115,108
2026-05-08,Cleveland Cavaliers,Detroit Pistons,97,107
2026-05-08,Los Angeles Lakers,Oklahoma City Thunder,107,125
2026-05-07,Philadelphia 76ers,New York Knicks,102,108
2026-05-07,Minnesota Timberwolves,San Antonio Spurs,95,133
2026-05-06,Cleveland Cavaliers,Detroit Pistons,101,111
2026-05-06,Los Angeles Lakers,Oklahoma City Thunder,90,108
2026-05-05,Minnesota Timberwolves,San Antonio Spurs,104,102
2026-05-05,Philadelphia 76ers,New York Knicks,98,137
2026-05-04,Orlando Magic,Detroit Pistons,94,116
2026-05-04,Toronto Raptors,Cleveland Cavaliers,102,114
2026-05-03,Philadelphia 76ers,Boston Celtics,109,100
2026-05-02,Detroit Pistons,Orlando Magic,93,79
2026-05-02,Cleveland Cavaliers,Toronto Raptors,110,112
2026-05-02,Los Angeles Lakers,Houston Rockets,98,78
2026-05-01,Denver Nuggets,Minnesota Timberwolves,98,110
2026-05-01,Boston Celtics,Philadelphia 76ers,93,106
2026-05-01,New York Knicks,Atlanta Hawks,140,89
2026-04-30,Toronto Raptors,Cleveland Cavaliers,120,125
2026-04-30,Houston Rockets,Los Angeles Lakers,99,93
2026-04-30,Orlando Magic,Detroit Pistons,109,116
2026-04-29,Philadelphia 76ers,Boston Celtics,113,97
2026-04-29,Atlanta Hawks,New York Knicks,97,126
2026-04-29,Portland Trail Blazers,San Antonio Spurs,95,114
2026-04-28,Oklahoma City Thunder,Phoenix Suns,131,122
2026-04-28,Minnesota Timberwolves,Denver Nuggets,113,125
2026-04-28,Detroit Pistons,Orlando Magic,88,94
2026-04-27,Cleveland Cavaliers,Toronto Raptors,89,93
2026-04-27,San Antonio Spurs,Portland Trail Blazers,114,93
2026-04-27,Boston Celtics,Philadelphia 76ers,128,96
2026-04-27,Los Angeles Lakers,Houston Rockets,96,115
2026-04-26,Detroit Pistons,Orlando Magic,105,113
2026-04-26,Oklahoma City Thunder,Phoenix Suns,121,109
2026-04-26,New York Knicks,Atlanta Hawks,114,98
2026-04-26,Denver Nuggets,Minnesota Timberwolves,96,112
2026-04-25,San Antonio Spurs,Portland Trail Blazers,120,108
2026-04-25,Los Angeles Lakers,Houston Rockets,112,108
2026-04-25,Boston Celtics,Philadelphia 76ers,108,100
2026-04-24,Cleveland Cavaliers,Toronto Raptors,104,126
2026-04-24,Denver Nuggets,Minnesota Timberwolves,96,113
2026-04-24,New York Knicks,Atlanta Hawks,108,109
2026-04-23,Orlando Magic,Detroit Pistons,83,98
2026-04-23,Phoenix Suns,Oklahoma City Thunder,107,120
2026-04-22,Philadelphia 76ers,Boston Celtics,111,97
2026-04-22,Portland Trail Blazers,San Antonio Spurs,106,103
2026-04-22,Houston Rockets,Los Angeles Lakers,94,101
2026-04-21,Minnesota Timberwolves,Denver Nuggets,119,114
2026-04-21,Toronto Raptors,Cleveland Cavaliers,105,115
2026-04-21,Atlanta Hawks,New York Knicks,107,106
2026-04-20,Philadelphia 76ers,Boston Celtics,91,123
2026-04-20,Phoenix Suns,Oklahoma City Thunder,84,119
2026-04-20,Orlando Magic,Detroit Pistons,112,101
2026-04-20,Portland Trail Blazers,San Antonio Spurs,98,111
2026-04-19,Houston Rockets,Los Angeles Lakers,98,107
2026-04-19,Atlanta Hawks,New York Knicks,102,113
2026-04-19,Minnesota Timberwolves,Denver Nuggets,105,116
2026-04-19,Toronto Raptors,Cleveland Cavaliers,113,126
2026-04-18,Golden State Warriors,Phoenix Suns,96,111
2026-04-18,Charlotte Hornets,Orlando Magic,90,121
2026-04-16,Orlando Magic,Philadelphia 76ers,97,109
2026-04-16,Golden State Warriors,LA Clippers,126,121
2026-04-15,Miami Heat,Charlotte Hornets,126,127
2026-04-15,Portland Trail Blazers,Phoenix Suns,114,110
2026-04-13,Chicago Bulls,Dallas Mavericks,128,149
2026-04-13,Sacramento Kings,Portland Trail Blazers,110,122
2026-04-13,Utah Jazz,Los Angeles Lakers,107,131
2026-04-13,Denver Nuggets,San Antonio Spurs,128,118
